NPI,Gender,State,Credentials,Specialty,ACETAMINOPHEN.CODEINE,FENTANYL,HYDROCODONE.ACETAMINOPHEN,HYDROMORPHONE.HCL,METHADONE.HCL,MORPHINE.SULFATE,MORPHINE.SULFATE.ER,OXYBUTYNIN.CHLORIDE,OXYBUTYNIN.CHLORIDE.ER,OXYCODONE.ACETAMINOPHEN,OXYCODONE.HCL,OXYCONTIN,TRAMADOL.HCL,Opioid.Prescriber
1871548537,F,MT,MD,Internal Medicine,0,0,13,0,0,0,0,0,0,0,0,0,18,1
1841349677,F,IN,"MSN, APRN, BC",Nurse Practitioner,0,24,37,12,152,56,93,0,0,0,131,82,0,1
1801816095,M,FL,,Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629038443,M,VA,MD,General Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1386607315,F,FL,D.O.,Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1811005366,M,CA,"M.D,",Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902018518,F,NV,APRN,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295852101,M,IN,M.D.,General Surgery,0,0,53,0,0,0,0,0,0,0,0,0,0,1
1467448381,F,OR,PA-C,Physician Assistant,0,0,55,0,0,0,0,0,11,19,15,0,15,1
1285675637,M,NE,M.D.,Family Practice,0,0,90,0,0,0,0,0,0,0,13,0,153,1
1669400792,F,MI,CNM,Certified Nurse Midwife,0,0,0,0,0,0,0,17,14,0,0,0,0,0
1598863342,F,NM,RN CNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891112496,M,PA,PA-C,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235270554,M,CA,DDS MS,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679630891,F,TN,"DNP, APRN-BC, FNP",Nurse Practitioner,0,0,104,0,0,0,0,0,17,21,36,0,0,1
1235132788,M,NY,DDS,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346496197,F,IL,M.D.,Rheumatology,0,0,25,0,0,0,0,0,0,0,0,0,0,1
1922136613,M,CT,DDS,Dentist,15,0,0,0,0,0,0,0,0,0,0,0,0,1
1316085228,F,CA,PHARM D.,Pharmacist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295742583,M,KS,O.D.,Optometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235426800,F,PA,CRNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,33,0,0,1
1902866106,F,LA,M.D.,Obstetrics/Gynecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952353724,M,MD,M.D.,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043399322,M,TX,MD,Urology,23,0,87,0,0,0,0,112,41,0,0,0,22,1
1255471140,M,IL,MD,Cardiac Electrophysiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619975919,F,CT,PAC,Physician Assistant,0,0,47,0,0,0,0,0,0,31,0,0,0,1
1023062759,M,MI,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1376865949,F,PR,D.M.D.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609867399,M,MO,M.D.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225079817,F,IA,M.D.,Family Practice,0,0,36,0,0,0,0,0,0,18,0,0,12,1
1093777229,F,PA,M.D.,Dermatology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134260607,F,NH,ARNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1164544045,M,AR,D.O.,Family Practice,0,0,20,0,0,0,0,0,0,0,0,0,0,1
1538141569,F,IN,O.D.,Optometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902916729,M,CA,M.D.,Internal Medicine,0,0,11,0,0,0,0,0,0,0,0,0,0,1
1679647747,M,WI,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154304293,F,TN,D.D.S,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659395069,M,TX,DPM MD,Podiatry,0,0,37,0,0,0,0,0,0,0,0,0,12,1
1114977758,M,NE,MD,Emergency Medicine,0,0,15,0,0,0,0,0,0,0,0,0,12,1
1912339961,F,NC,FNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1699933614,F,IA,PA-C,Physician Assistant,0,0,33,0,0,0,0,0,0,0,0,0,23,1
1174601066,M,CA,MD,Internal Medicine,45,0,497,0,16,0,23,0,0,17,0,0,306,1
1003893140,M,TX,MD,Psychiatry & Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104843101,F,MN,MD,Infectious Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912114752,M,OH,MD,Psychiatry,0,0,0,0,0,0,0,0,0,0,0,0,36,1
1326073214,M,NJ,PA-C,Physician Assistant,0,0,0,0,0,0,0,0,0,15,0,0,0,1
1063772572,F,MI,MD,Student in an Organized Health Care Education/Training Program,0,0,20,0,0,0,0,0,0,0,0,0,0,1
1144285164,M,AL,MD,Gastroenterology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255327441,M,IL,DPM,Podiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316921752,M,IL,MD,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194739243,M,NY,MD,Cardiology,11,0,0,12,0,0,0,0,0,31,0,0,0,1
1609831783,F,AZ,D.D.S.,Dentist,0,0,30,0,0,0,0,0,0,0,0,0,0,1
1871682567,F,TN,NP,Nurse Practitioner,0,25,106,0,0,0,0,0,47,0,0,0,62,1
1124108774,M,NY,MD,Thoracic Surgery,0,0,0,0,0,0,0,0,0,13,0,0,0,1
1386964930,F,AL,M.D.,Family Practice,0,0,24,0,0,0,0,0,0,0,0,0,24,1
1346403839,M,NY,M.D.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184760480,M,FL,DMD,Oral Surgery (dentists only),0,0,86,0,0,0,0,0,0,0,0,0,0,1
1457380826,F,NY,PA,Physician Assistant,0,0,11,0,0,0,0,0,0,0,0,0,0,1
1730245325,M,NY,MD,Psychiatry & Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013935303,M,PA,MD,Internal Medicine,44,0,48,0,0,0,0,35,13,45,0,0,114,1
1629152525,M,TN,D.D.S.,Dentist,0,0,44,0,0,0,0,0,0,0,0,0,0,1
1265477343,M,TX,DO,Emergency Medicine,0,0,25,0,0,0,0,0,0,0,0,0,13,1
1629099304,M,SC,MD,Anesthesiology,0,63,374,0,0,15,231,0,0,68,55,53,68,1
1205126695,F,NC,,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982602868,M,CT,M.D.,Orthopedic Surgery,0,0,126,0,0,0,0,0,0,0,0,0,23,1
1578724068,M,MO,D.O.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144296245,M,WY,M.D.,Family Practice,58,40,340,0,52,0,44,21,14,52,109,0,138,1
1508982414,F,VA,M.D.,Internal Medicine,0,0,31,0,0,0,0,16,0,0,0,0,113,1
1316176233,M,OH,MD,Urology,0,0,13,0,0,0,0,0,0,0,0,0,0,1
1285792762,M,CA,M.D.,General Practice,0,18,100,25,0,0,0,75,0,0,0,0,199,1
1386962785,M,NJ,D.O.,Anesthesiology,12,21,72,0,12,35,120,0,0,268,450,176,27,1
1457391989,M,ME,M.D.,Psychiatry & Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548413172,M,LA,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932193117,M,NJ,M.D.,Otolaryngology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487933404,F,NY,PA,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063590743,M,CA,MD,Internal Medicine,41,0,429,31,0,0,48,14,11,45,0,0,0,1
1699740613,M,OH,M.D.,Neurology,42,72,281,0,11,0,0,0,16,459,72,70,183,1
1093901357,M,OH,M.D.,Internal Medicine,0,0,263,0,0,0,0,0,20,0,0,0,0,1
1588612477,F,CA,,Emergency Medicine,0,0,22,0,0,0,0,0,0,12,0,0,0,1
1881825461,M,FL,D.O.,Emergency Medicine,0,0,17,0,0,0,0,0,0,33,0,0,53,1
1528075702,M,AZ,MD,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467427427,F,MN,MD,Family Practice,16,0,49,0,0,0,0,14,0,15,0,0,24,1
1437233327,M,NC,M.D.,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053405951,F,OK,M.D.,Anesthesiology,0,33,423,32,0,35,139,0,0,244,160,47,21,1
1528037371,M,ME,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366495459,F,UT,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1720393101,F,CA,,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720089469,M,CA,M.D.,Pulmonary Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467627729,M,FL,,Emergency Medicine,0,0,0,0,0,0,0,0,0,34,0,0,38,1
1154471449,M,TX,M.D.,Neuropsychiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811335664,F,PA,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184619157,M,FL,MD,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689765588,F,KS,MPT,Physical Therapist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053492868,M,IN,M.D.,Family Practice,0,0,42,0,0,0,12,0,0,28,0,0,0,1
1609989268,M,ND,M.D.,Emergency Medicine,0,0,24,0,0,0,0,0,0,0,0,0,12,1
1881784809,F,NY,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1790753143,F,KY,ARNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588704753,M,MI,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366415093,M,PR,DMD,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750509907,M,ME,D.M.D.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356448336,M,CA,MD,Internal Medicine,19,0,16,0,0,0,13,0,0,0,0,0,0,1
1851463541,M,GA,D.M.D.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336181536,F,GA,APRN BC FNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497035588,M,NY,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700045713,M,WI,MD,Dermatology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598779209,M,AR,M.D.,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,276,1
1629141379,M,CT,MD,Psychiatry & Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952497273,M,NY,,Psychiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437209079,F,NY,MD,Psychiatry & Neurology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619986395,M,NJ,"DMD,FAGD",Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235124835,M,CA,MD,Ophthalmology,0,0,18,0,0,0,0,0,0,0,0,0,0,1
1881699270,M,TX,MD,Otolaryngology,59,0,50,0,0,0,0,0,0,0,0,0,0,1
1588724504,M,TX,MD,General Surgery,11,0,38,0,0,0,0,0,0,0,0,0,0,1
1497708556,M,IL,MD,Internal Medicine,0,0,62,0,0,0,0,0,0,0,19,0,91,1
1154553097,F,FL,O.D.,Optometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962510818,F,SC,MD,Pediatric Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902989668,M,CA,M.D.,Gastroenterology,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1760614101,M,MI,PA-C,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396955589,F,NC,M.D.,Otolaryngology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073527669,M,TX,M.D.,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689664211,M,MI,MD,Internal Medicine,56,22,211,0,0,0,0,0,38,0,0,0,77,1
1184679599,M,OH,M.D.,Infectious Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558575357,M,NY,D.D.S,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508931650,M,IN,M.D.,Family Practice,23,0,109,0,0,0,0,20,0,24,12,14,38,1
1245390210,M,TX,MD,Gastroenterology,0,0,18,0,0,0,0,0,0,0,0,0,0,1
1649533845,M,MO,M.D.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376703926,F,VA,"MD,MPH",Psychiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447298526,M,MI,MD,Physical Medicine and Rehabilitation,0,0,33,0,0,0,0,0,0,0,0,0,34,1
1700874153,F,AZ,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1184638702,F,GA,M.D.,Family Practice,38,26,271,0,0,0,0,0,30,31,33,0,108,1
1356360556,M,MA,DMD,Oral Surgery (dentists only),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619082526,M,LA,DDS,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477686616,F,DE,M.D.,Psychiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659371177,M,MI,DO,General Surgery,0,0,67,0,0,0,0,0,0,0,0,0,0,1
1518951136,F,WI,MD,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285706093,F,CA,MD,General Surgery,0,0,39,0,0,0,0,0,0,0,0,0,0,1
1760424683,F,CA,NP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497766810,M,NE,MD,Emergency Medicine,0,0,53,0,0,0,0,0,0,0,0,0,0,1
1063467157,M,OH,MD,Emergency Medicine,0,0,25,0,0,0,0,0,0,25,0,0,0,1
1972579928,M,OH,D.O.,Internal Medicine,17,26,377,0,0,0,0,17,75,54,25,13,284,1
1699853770,F,CA,MD,Obstetrics/Gynecology,0,0,0,0,0,0,0,0,36,0,0,0,0,0
1710154299,M,CA,M.D.,Emergency Medicine,0,0,16,0,0,0,0,0,0,0,0,0,0,1
1932542842,M,IN,M.D.,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1124197108,M,PR,M.D.,Nephrology,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1093721847,M,WI,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851458723,M,TX,MD,General Surgery,0,0,28,0,0,0,0,0,0,0,0,0,0,1
1063617975,M,MD,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,18,39,0,78,1
1144333055,M,TX,D.O.,Family Practice,0,0,19,0,0,0,0,0,0,0,0,0,0,1
1801860630,M,NY,MD,Urology,0,0,12,0,0,0,0,0,40,0,0,0,0,1
1154472579,M,PA,M.D.,Family Practice,0,16,41,0,0,0,0,0,0,130,31,0,34,1
1316956899,M,CA,M.D.,Internal Medicine,0,0,66,0,0,0,0,0,0,0,0,0,24,1
1184667842,F,CA,M.D.,Family Practice,26,16,223,0,0,0,0,38,21,41,0,0,102,1
1295856854,M,TX,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962798900,M,PA,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831278092,F,MI,PA-C,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1184839037,F,MI,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871685800,M,FL,"BDS,  DDS",Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558311050,F,CA,MD,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851308340,M,PR,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,30,1
1063464808,M,NJ,M.D.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1447398615,M,MI,DDS,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487841177,M,CA,MD,Orthopedic Surgery,48,0,71,0,0,0,0,0,0,0,0,0,0,1
1063475432,M,IL,PA,Physician Assistant,0,0,27,0,0,0,0,0,0,0,0,0,0,1
1346294717,M,UT,M.D.,Internal Medicine,0,0,112,0,13,0,0,0,0,17,13,0,93,1
1437186061,M,WA,M.D.,Emergency Medicine,0,0,30,0,0,0,0,0,0,0,0,0,12,1
1326167164,F,MD,"D.D.S., F.A.G.D.",Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669558797,M,MI,MD,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003813155,F,CT,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114173721,M,CA,"DDS, MD",Maxillofacial Surgery,0,0,15,0,0,0,0,0,0,0,0,0,0,1
1760767867,F,IL,,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104835941,F,NM,"PMH, CNP/CNS",Certified Clinical Nurse Specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457554297,F,PR,,General Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083671184,M,OH,MD,Preventive Medicine,0,0,11,0,0,0,0,0,0,15,0,0,0,1
1023360765,F,MN,P.A.,Physician Assistant,0,0,0,0,0,0,0,0,0,21,0,0,15,1
1285617332,M,TN,MD,Infectious Disease,0,0,326,13,0,0,69,0,0,109,60,47,17,1
1992771174,M,AR,MD,Otolaryngology,0,0,36,0,0,0,0,0,0,0,0,0,0,1
1467718734,F,TN,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1487918330,M,IL,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811156482,M,WI,M.D.,Rheumatology,17,0,108,0,0,0,0,0,0,13,0,0,69,1
1285693804,F,MI,M.D.,Dermatology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578819355,M,TX,DDS,Dentist,71,0,72,0,0,0,0,0,0,0,0,0,0,1
1649208638,F,CA,M.D,Neuropsychiatry,0,0,13,0,0,0,0,0,0,0,0,0,0,1
1932410776,M,TX,MD,Family Practice,0,0,39,0,0,0,0,0,0,0,0,0,0,1
1174741524,M,CA,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770716300,M,OH,PA-C,Physician Assistant,0,0,43,0,0,0,0,0,0,0,0,0,0,1
1487623195,F,MD,,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568454932,M,PR,MD,General Practice,0,0,0,0,0,0,0,0,0,0,0,0,80,1
1790746642,F,NY,PA,Physician Assistant,0,0,0,0,0,0,0,0,0,11,0,0,0,1
1689994428,F,IN,M.D.,Physical Medicine and Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992139281,F,IL,PA-C,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609127893,M,PA,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407852148,M,CA,MD,Allergy/Immunology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104093236,M,NY,M.D.,General Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922063064,M,SC,MD,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861588873,M,MN,MD,Psychiatry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831388396,M,TX,M.D.,Family Practice,0,0,123,0,0,0,0,0,0,0,0,0,187,1
1649373424,F,OR,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,16,0,0,1
1306886064,M,KY,M.D.,Diagnostic Radiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740249861,M,ME,MD,Family Practice,0,0,42,0,19,0,0,0,0,0,20,0,41,1
1972540680,F,RI,MD,Pulmonary Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902899230,M,WY,PA,Physician Assistant,0,0,16,0,0,0,0,0,0,0,0,0,0,1
1548277015,M,NY,M.D.,Hand Surgery,0,0,16,0,0,0,0,0,0,0,0,0,14,1
1992821300,M,TX,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831118678,F,WV,MD,Emergency Medicine,0,0,23,0,0,0,0,0,0,0,0,0,0,1
1861586836,M,CA,M.D.,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144200999,M,TN,MD,Pulmonary Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1063667889,M,NC,M.D.,Family Practice,0,0,0,0,0,0,0,0,0,13,0,0,0,1
1659390201,M,TX,D.D.S,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1225017346,M,IN,D.D.S.,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023003407,M,TX,MD,Emergency Medicine,0,0,17,0,0,0,0,0,0,0,0,0,0,1
1427249184,M,OH,,Hospice and Palliative Care,0,43,11,11,14,28,56,0,0,43,44,52,0,1
1447469598,M,IL,D.O.,Emergency Medicine,0,0,108,0,0,0,0,0,0,12,0,0,0,1
1356360713,M,VA,MD,Orthopedic Surgery,0,0,47,0,0,0,0,0,0,26,0,0,0,1
1508832528,M,AL,MD,Family Practice,0,0,112,0,0,0,0,0,0,0,0,0,16,1
1942292511,M,VA,MD,Family Practice,15,67,115,0,0,11,32,13,0,34,20,13,142,1
1427019512,F,RI,NP,Nurse Practitioner,0,0,0,0,0,0,13,0,0,0,37,0,0,1
1962483768,M,TX,DDS,Maxillofacial Surgery,0,0,61,0,0,0,0,0,0,0,0,0,48,1
1023070364,M,WI,M.D.,Cardiology,0,0,11,0,0,0,0,0,0,0,0,0,0,1
1992712277,F,VA,M.D.,Obstetrics/Gynecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295765063,M,FL,D.O.,Family Practice,0,0,112,0,0,0,0,37,0,0,0,0,141,1
1588873715,M,AZ,M.D.,Thoracic Surgery,0,0,11,0,0,0,0,0,0,0,0,0,0,1
1134195993,F,TX,"D.O., MPH & TM",Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922178342,M,CA,M.D.,Emergency Medicine,0,0,25,0,0,0,0,0,0,0,0,0,0,1
1821031253,M,TX,M.D.,Medical Oncology,0,29,131,0,0,0,38,0,0,0,0,0,0,1
1154515385,F,CA,MD,Hand Surgery,0,0,19,0,0,0,0,0,0,0,0,0,0,1
1073581856,M,CA,DDS,Dentist,0,0,57,0,0,0,0,0,0,0,0,0,0,1
1700292620,M,SC,D.M.D.,Dentist,0,0,17,0,0,0,0,0,0,0,0,0,0,1
1740289222,M,AK,MD,Orthopedic Surgery,0,0,19,0,0,0,0,0,0,19,0,0,0,1
1225353816,M,NY,MD,Nephrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1528022753,M,AL,M.D.,Plastic and Reconstructive Surgery,0,0,73,0,0,0,0,0,0,0,0,0,0,1
1073664660,F,CA,"M.D., PH.D.",Hematology/Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1922098169,F,TN,MD,Allergy/Immunology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194796813,F,FL,D.O.,Family Practice,0,0,12,0,0,0,0,0,0,0,0,0,0,1
1811917305,M,CA,MD,Family Practice,0,0,43,0,0,0,0,0,0,0,0,0,27,1
1770529885,F,FL,MD,General Practice,0,0,0,0,0,0,0,0,28,0,0,0,17,1
1790865756,F,TN,APRN,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669529038,M,PR,,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225265051,M,MA,M.D.,Internal Medicine,12,13,17,11,18,0,0,13,0,13,34,0,35,1
